Geneid	4N_ZFP821_WT_RNA_seq_rep1	4N_ZFP821_WT_RNA_seq_rep2	4N_ZFP821_KO_RNA_seq_rep1	4N_ZFP821_KO_RNA_seq_rep2
Vmn2r-ps121	22	33	24	27
Vmn2r99	0	0	0	0
Gm7605	0	0	0	0
Vmn2r-ps120	0	0	0	2
Gm6759	0	1	0	0
Vmn2r127	0	0	0	0
Vmn2r98	0	0	0	0
Vmn2r-ps118	0	0	0	0
Gm41538	0	1	0	0
Vmn2r97	0	0	0	0
Vmn2r-ps117	0	0	0	0
Vmn2r-ps116	0	0	0	0
Vmn2r-ps115	0	0	0	0
Vmn2r96	0	0	0	0
Vmn2r-ps114	0	0	0	0
Vmn2r95	0	0	0	0
Vmn2r93	0	0	0	0
Vmn2r94	0	0	0	0
Gm29986	0	0	0	0
Vmn2r92	0	0	1	0
Vmn2r91	0	0	0	0
Vmn2r124	0	0	0	0
Fpr-rs4	0	0	0	0
Fpr-rs5	0	0	0	0
Fpr3	0	0	1	0
Gm5966	1	0	3	2
Gm7535	4	1	4	6
Gm9481	290	315	450	409
Gm7531	1	1	0	5
Fpr2	0	0	0	2
Fpr1	0	0	0	0
Gm36907	1	2	0	1
Has1	5	4	5	7
Mir125a	0	0	0	0
Mirlet7e	0	0	0	0
Mir99b	0	0	0	0
Spaca6	153	131	116	156
Vmn2r90	0	2	0	0
Gm7513	0	1	0	0
Lnpep	793	965	1174	1426
Gm5232	0	0	0	0
Gm41537	0	0	0	0
Lix1	6	6	3	9
Gm26873	12	10	6	7
Riok2	426	466	492	516
Gm36768	36	37	42	25
Oaz1-ps	12	15	32	47
Gm6712	53	61	52	91
Gm5165	183	181	149	172
Gm38396	42	36	41	61
Zfp97	32	25	23	46
Zfp960	55	48	49	55
Gm51425	248	259	209	246
BC002059	51	51	62	76
Gm7483	0	0	0	0
Gm6705	1	4	4	6
Gm5223	2	0	1	2
Gm7477	0	0	0	0
Gm3320	1	1	1	1
Gm17939	0	0	0	0
Gm4786	2	5	6	5
Gm46610	0	0	0	0
Gm41534	2	1	0	2
Gm49777	0	0	0	0
Gm41533	100	103	147	128
Eif3s6-ps3	0	0	0	2
Gm25598	0	0	0	0
Gm3292	0	0	0	0
Rgmb	126	119	228	229
Chd1	2357	2532	2140	2318
5830433I10Rik	565	563	781	680
4933401D09Rik	5	4	2	6
Gm3507	1	2	1	2
Gm7450	4	0	0	0
Gm6686	0	0	2	0
Gm18564	0	1	1	1
Prdm9	245	262	704	599
Gm7177	0	0	0	1
Pdcd2	327	302	502	621
Tbp	7131	7896	7847	7597
Psmb1	2715	2792	3410	3565
Gm49668	14	14	10	12
Fam120b	3563	3701	4604	4275
Dll1	15	15	19	38
Gm10510	0	0	0	0
Gm7423	0	0	0	0
Gm35576	1	0	0	0
Gm5091	5	5	4	6
Gm35502	12	16	18	20
Gm35455	8	6	12	23
Gm35203	2	2	5	2
Gm41532	28	44	57	63
Gm35343	0	2	0	2
Ermard	653	810	905	992
Tcte3	55	68	56	49
Gm52298	4	2	10	3
Gm3435	38	36	56	58
Gm3448	0	0	4	5
Gm3255	0	3	4	7
9030025P20Rik	79	107	86	93
Gm3417	6469	6821	4235	4036
Phf10	5635	6047	6492	6355
1600012H06Rik	195	211	304	306
Gm23352	0	0	0	0
Wdr27	1535	1685	1938	1625
Gm3222	0	1	0	0
Thbs2	14	8	14	24
Gm34916	0	0	0	0
Gm38551	5	5	7	5
4930474M22Rik	89	136	172	211
Smoc2	529	522	605	641
Gm52280	0	0	0	0
Gm34567	1	1	0	0
Gm34772	0	0	0	0
Gm41531	0	0	1	0
Gm34510	158	195	165	200
Dact2	505	586	797	814
Gm34426	0	0	0	0
4930488N24Rik	122	119	109	141
Gm7358	98	100	60	84
Gm34107	32	48	55	37
Gm7356	89	92	48	79
Gm33889	52	53	43	41
Gm7168	30	25	31	17
Afdn	4679	5012	5514	5765
Tcte2	4747	5097	5836	4997
Gm24867	0	0	0	0
Gm41530	0	0	0	1
Gm26375	3	3	4	3
Smok4a	15	3	2	8
Gm8603	0	0	0	0
2700054A10Rik	554	647	783	532
Rnu6	2	0	1	1
LOC115488853	0	0	0	0
Gm19283	6	1	2	2
Tcp10c	9613	10457	14486	12991
Gm36537	1	2	1	3
Gpr31c	6	7	13	18
Gm36589	0	0	2	1
Gm26500	0	0	0	0
Smok2b	25	22	14	14
Smok2a	21	26	14	14
Gm10512	0	0	0	0
Gm36684	0	0	0	0
Gm36798	3	6	6	13
Gm36277	0	0	1	1
Gm23050	0	0	0	0
Unc93a	30	33	19	30
Gm11166	0	1	0	1
Tcp10b	6039	6477	7765	7838
Gm36226	0	0	3	2
Gpr31b	0	0	8	2
Gm36117	24	31	39	30
Sod2	3907	4308	4765	4252
Wtap	986	1023	1246	1382
Gm15946	9	10	16	6
Acat2	373	434	725	682
Gm20591	7	5	8	9
Acat3	99	68	75	59
Snora20	4	11	20	20
LOC115488839	32	45	51	38
Tcp1	73354	79840	73904	71004
Mrpl18	876	1000	1342	1345
Pnldc1	507	574	706	807
Mrgprh	1	0	0	2
Gm17592	5	4	1	1
Gm16574	0	0	0	0
Slc22a1	2	0	0	0
Slc22a2	1	0	2	0
C030013G03Rik	0	0	0	0
Gm3192	0	0	0	0
Slc22a3	3	7	2	5
Plg	0	2	0	0
Gm41527	0	0	0	1
Gm6618	0	0	0	0
4732491K20Rik	5	30	26	34
Gm24794	0	2	0	0
Gm46605	0	0	1	0
Map3k4	1322	1403	1977	2191
Tdgf1-ps2	0	0	0	0
Agpat4	22	34	37	34
Gm52293	0	1	1	4
Gm46604	5	3	8	1
D17Ertd648e	0	0	0	0
Gm41525	0	1	0	0
Gm41526	1	0	0	0
Gm3145	24	24	64	45
Prkn	1824	2014	1933	1848
Gm16169	0	0	1	0
Gm52294	380	406	901	948
Gm16168	7	12	10	7
A230009B12Rik	1	0	1	3
Pacrg	4888	5232	7349	6813
Gm39565	0	0	0	0
1700110C19Rik	34	36	71	54
Cahm	75	79	137	114
Gm46608	45	52	65	87
Qk	12362	13199	10045	10769
Gm34972	0	0	0	0
Gm34799	1	0	3	3
4930452A19Rik	8	13	13	20
Gm34684	6	4	2	2
Pabpc6	35476	37582	29074	31409
Gm17748	0	0	0	0
Gm51424	0	0	0	0
Gm7947	0	0	0	0
Gm8492	0	0	0	0
Gm52287	22	35	50	49
6530411M01Rik	0	0	0	0
Gm29711	26	28	31	31
1700010I14Rik	20528	22405	25852	24847
Gm34321	1	2	5	5
Gm15426	0	0	0	0
Gm46585	0	0	0	0
LOC108168312	1	2	2	4
Gm17087	0	0	1	1
Gm15425	2	0	0	1
Pde10a	7906	8810	7327	7017
T	1	2	1	1
LOC115486424	3	0	0	0
Gm34036	0	0	0	0
Gm5491	2	0	0	1
Gm16702	5	7	5	14
Gm46593	0	1	0	0
T2	6	5	8	9
Gm46592	0	0	0	0
Prr18	23	17	34	41
Sft2d1	520	545	590	650
4930506C21Rik	36	33	41	29
Mpc1	505	545	664	630
Gm8465	0	1	0	0
Gm33799	10	11	15	17
Ccr6	11	14	8	22
Cep43	3135	3286	3688	3748
Rnaset2a	74	79	277	358
Gm41523	1	2	5	7
Gm22416	0	0	0	0
Rsph3a	9812	11404	14536	13077
Tagap	4	2	4	2
Gm1604a	37	39	10	20
AU041480	0	2	0	1
Gm7140	0	0	0	0
Gm52281	0	0	0	0
Fndc1	34	26	31	36
Gm26057	0	0	0	0
Unc93a2	12	11	8	12
Ttll2	36	59	36	55
Tcp10a	9736	10648	12603	11831
Gpr31a	0	0	3	1
Rps6ka2	158	124	171	188
Gm25119	0	0	0	0
Gm1604b	0	0	0	0
Rnaset2b	81	72	193	232
Tagap1	1161	1228	1472	1485
Rsph3b	3479	3740	5155	4742
1700122H20Rik	21	21	20	15
Mir692-1	1	0	2	3
Gm2885	234	294	350	326
4933426B08Rik	5	3	6	8
Ezr	563	588	836	871
Gm36309	0	0	0	2
Sytl3	21	29	27	34
Dynlt1f	3885	4243	5486	4769
Tmem181c-ps	113	118	133	126
Dynlt1c	117	144	385	352
LOC115488814	0	0	0	0
Gm29721	0	0	0	0
Gm17880	0	3	0	0
Gm2808	6	3	7	4
Ppp1r2-ps5	188	204	227	239
Tmem181b-ps	884	965	1011	911
Dynlt1b	823	942	1359	1145
Gm29719	0	0	0	1
Gm17879	0	0	1	0
Gm2792	1	2	4	2
Ppp1r2-ps1	23	19	22	29
Dynlt1a	5162	5559	6684	6184
Tmem181a	1215	1276	1335	1201
Ppp1r2-ps6	11	11	16	16
Gm17881	19	26	23	26
Gm15590	0	0	2	0
Fbl-ps2	9	10	25	20
Tulp4	8181	8944	9045	9100
Gtf2h5	557	590	736	696
Serac1	1223	1267	1380	1372
Gm46591	16	15	30	11
Gm35525	32	20	18	23
Gm52312	0	0	0	0
Synj2	304	289	364	407
Gm8376	0	0	2	0
Gm46599	0	0	2	1
Gm35474	2	1	2	2
Snx9	736	801	832	882
Gm10231	2	1	4	4
3300005D01Rik	0	0	1	0
Gm41519	1	0	1	0
Gm52305	0	0	0	0
Zdhhc14	144	139	180	193
Gm52310	0	0	5	5
Gm8363	0	1	0	0
Ldhal6b	34550	36766	40851	35609
Gm29050	288	251	150	142
Tmem242	2259	2290	2722	2500
Gm34854	12	17	28	29
Gm15599	0	0	0	0
Arid1b	359	394	856	916
Gm34625	0	0	2	0
Gm41517	0	0	0	0
Gm34507	333	306	647	558
Gm4828	4	3	3	3
Gm34371	346	386	313	326
Gm23186	0	0	0	0
4930517M08Rik	0	6	3	4
Gm34259	0	0	0	1
Gm41516	0	0	0	0
4930548J01Rik	31	39	33	45
4930470H14Rik	11	8	8	13
Gm34208	15	19	19	25
Nox3	14	6	7	11
Gm34155	20	30	37	54
1700102H20Rik	82	89	112	114
Cldn20	0	0	0	2
Tfb1m	965	1058	1101	1044
Gm7043	0	0	0	0
Gm52295	0	0	0	1
Gm49221	0	0	0	0
Tiam2	16	11	11	20
Gm6475	5	5	5	13
Gm34035	21	15	12	19
Gm6242	8	11	27	26
Gm46578	0	0	0	0
Scaf8	2136	2357	2821	3107
Gm21926	1	2	1	2
Gm4829	2	3	1	5
A230045G11Rik	148	176	286	272
Gm5679	0	0	0	0
Gm41522	2	4	0	3
Pisd-ps2	162	228	329	265
Gm25909	1	0	0	1
Gm5479	14	18	17	19
Gm10232	56	51	57	43
A630089N07Rik	12	5	5	24
Vmn2r-ps112	0	0	1	0
B230307C23Rik	97	125	109	111
C030010L15Rik	10	19	13	8
Zbtb21	1704	1676	2350	2088
Gm41514	6	11	10	25
Mir6964	0	0	0	0
C2cd2	732	748	955	922
Prdm15	325	337	450	518
Ripk4	193	176	282	367
Gm41513	2	1	2	0
Gm41512	7	5	16	3
Tmprss2	22	15	22	33
Mx2	48	70	66	79
Gm9242	1	0	0	0
Fam3b	55	80	82	106
Mx1	3	6	6	6
Bace2	5	5	7	7
Gm32432	4	1	2	4
Gm32509	10	9	6	6
Pcp4	1	0	1	0
Gm32358	0	0	0	0
Itgb2l	0	0	0	0
Igsf5	2	4	5	0
Gm41510	0	0	1	0
B3galt5	2	0	0	2
Gm41509	2	2	7	0
Gm32130	0	0	0	0
Gm6599	0	0	0	0
Gm31407	0	0	0	0
Gm41507	0	1	2	0
Gm15310	0	0	1	0
LOC115488625	0	0	0	0
Gm31175	13	11	12	5
2410003I16Rik	12	11	12	21
Gm31012	0	0	0	0
Cldn14	5	2	0	2
Chaf1b	551	635	901	733
Morc3	4477	4595	4178	4354
Gm30881	0	0	0	0
2310043M15Rik	0	3	3	5
Dop1b	1222	1424	1669	1588
Gm41501	0	5	4	0
Gm52236	13	11	25	27
Cbr3	8	3	2	6
Gm5678	0	0	2	1
Cbr1	683	688	877	801
Setd4	200	189	285	282
Gm30695	31	27	45	30
1700029J03Rik	7	7	8	25
Mir802	0	0	0	0
1810053B23Rik	10	13	33	17
Gm30588	2	2	2	0
Gm30530	0	0	0	0
Gm30474	0	0	0	0
Gm41499	0	0	0	0
Gm30281	0	0	0	0
Runx1	13	16	20	27
Gm30224	1	0	0	0
Clic6	17	19	55	45
2410124H12Rik	0	0	0	0
Gm46555	0	4	2	1
Gm41498	21	32	99	70
Rcan1	1175	1156	1220	1200
Gm29805	1	2	3	0
Gm30163	0	0	0	0
Kcne1	4	2	0	1
Smim34	5	8	3	2
Fam243	676	723	837	800
1700048M11Rik	8	8	2	2
Smim11	141	138	153	172
Kcne2	1	1	2	3
Gm41497	4	4	3	3
Gm29880	0	4	1	1
Gm41495	0	1	1	0
Gm41496	2	0	4	3
Mrps6	484	504	591	536
Slc5a3	1248	1342	1439	1903
Gm23210	0	0	0	0
Gm18020	3	3	4	3
Gm36905	3	4	3	5
D430001F17Rik	0	3	4	8
Gm36797	0	0	0	0
Atp5o	3757	4228	6022	5434
Gm25245	2	1	3	0
Gm52262	28	23	24	34
Itsn1	1783	1817	2685	2833
Gm46543	4	3	5	7
Cryzl1	1683	1902	2230	2130
Gm10785	93	76	111	114
Donson	3967	4242	4961	4771
Gm36712	93	92	153	136
Son	14280	15352	17593	19492
Gart	1003	1035	1616	1793
Dnajc28	1787	1926	2277	2247
Tmem50b	3415	3594	3166	2795
Ifngr2	143	148	181	207
Gm7860	0	2	1	1
Mir6367	0	0	0	0
Gm7856	5	1	4	3
Ifnar1	1342	1506	2278	1972
A930006K02Rik	158	173	257	204
Gm46562	0	0	0	0
Il10rb	7	7	19	15
Ifnar2	23	17	28	23
Gm36587	0	1	1	1
Gm24695	0	0	0	0
Olig1	8	5	16	8
Gm52261	0	1	1	2
Olig2	0	0	0	0
Gm9881	45	50	88	43
Gm41492	26	41	42	52
H3f3a-ps2	15	12	40	48
4932438H23Rik	278	228	292	295
Paxbp1	1087	1185	1375	1480
4930404I05Rik	197	199	312	282
Synj1	2125	2132	2610	2652
Cfap298	4493	4805	7840	7768
Gm36363	0	0	0	0
Eva1c	408	355	435	382
Urb1	11868	12788	15172	13553
Mrap	8	21	16	22
Gm17518	518	524	757	564
Mis18a	560	604	973	862
Gm46569	1	0	1	1
Gm36169	0	0	0	0
Gm36116	4	4	7	9
LOC115488693	0	0	0	1
Gm36063	6	6	1	4
Gm36001	0	0	0	0
Gm35939	7	9	11	14
Gm41490	1	4	2	3
Gm35882	8	7	4	15
Hunk	1380	1451	1762	1676
Scaf4	8316	8772	8492	8495
Sod1	1962	2122	3325	3813
Gm35714	0	0	0	0
Gm7307	0	0	0	0
Gm10789	3	6	12	17
Gm2805	0	2	6	6
Gm52239	0	0	0	1
Tiam1	1090	1095	1238	1360
Gm35500	9	5	12	10
Gm17844	0	0	0	1
Krtap11-1	0	0	0	0
Krtap7-1	0	0	0	0
Krtap8-1	0	0	0	0
Gm23655	0	0	0	0
Krtap6-2	0	0	0	0
Krtap21-1	0	0	0	0
Gm33084	0	0	0	0
Gm52246	1	0	0	0
Gm35427	2	2	2	3
Gm41488	2	0	4	4
Gm35342	0	0	0	0
Gm52233	0	0	0	0
Gm52260	0	0	0	0
Gm35257	0	2	0	0
Gm52266	0	0	0	0
Gm35174	0	0	0	0
Gm35091	0	0	0	0
Gm35004	0	0	0	0
Gm52258	7	5	3	7
Gm34826	0	0	0	0
Gm34733	2	2	1	1
Gm34650	0	2	0	0
Gm34566	0	1	1	0
Krtap20-2	0	0	0	0
Gm34396	0	0	0	0
1110057P08Rik	0	0	0	0
Gm7735	0	0	0	0
Gm9789	2	2	1	2
Gm10061	0	0	0	0
Gm6358	0	0	0	0
Gm33888	1	0	0	0
Gm33798	0	0	0	0
Gm33726	1	1	1	0
Gm38490	0	0	0	0
Krtap6-3	0	0	0	0
Gm41487	15	21	16	20
1110025L11Rik	0	1	1	4
Krtap6-5	1	0	0	0
Gm10228	0	0	0	0
Krtap6-1	1	0	0	0
Gm10229	0	0	0	0
Krtap22-2	0	0	0	0
Gm41515	0	0	0	0
Krtap16-3	0	0	0	0
Krtap19-9b	0	0	0	0
Krtap19-5	0	0	0	0
Krtap19-4	0	0	0	0
Krtap19-3	0	0	0	0
Krtap19-2	0	0	0	0
Krtap19-1	0	0	0	0
Krtap15	0	0	0	0
Krtap14	0	0	0	0
Gm20741	0	0	0	0
4930553J12Rik	10	4	6	7
Gm5965	0	0	0	0
2310057N15Rik	0	0	0	0
2310034C09Rik	0	0	0	0
Krtap13	0	0	5	3
Krtap13-1	0	0	0	0
2310061N02Rik	0	0	0	0
Gm7667	5	7	4	3
Krtap27-1	0	1	0	0
Krtap26-1	0	0	0	0
2310079G19Rik	0	0	0	0
Krtap24-1	1	0	0	1
Gm33372	4	1	1	0
Cldn8	0	2	0	0
Cldn17	0	0	0	0
Gm46546	0	0	3	2
Gm33255	0	1	0	1
Gm41486	12	17	10	16
Gm46553	0	1	4	4
Gm33207	0	0	0	2
LOC115486002	5	8	4	3
4930590A17Rik	2	4	7	11
Grik1	6	15	24	11
2810407A14Rik	7	12	15	13
Gm23994	0	0	0	0
Gm32925	18	17	35	27
Bach1	126	152	215	319
Gm22808	0	0	0	0
Gm41485	0	0	1	2
Map3k7cl	15	11	10	15
Rpl31-ps4	6	6	1	4
Gm24891	0	0	0	0
B130034C11Rik	21	13	17	19
Cct8	8753	9182	9486	10201
Usp16	2723	2935	2607	2929
Rwdd2b	265	276	293	259
Gm25896	0	3	1	1
Ltn1	5797	6218	6584	6646
N6amt1	131	156	153	215
Gm41484	0	0	1	0
Gm32865	18	18	24	26
Gm38477	382	372	375	467
Gm25715	0	0	0	0
Gm32624	0	0	0	0
Gm32461	0	0	0	0
Gm32357	16	23	12	8
Gm46558	0	1	1	1
Adamts5	28	35	42	87
4930556C24Rik	296	298	365	367
Adamts1	27	42	32	57
Gm6278	3	6	5	6
Gm52244	0	0	1	1
Gm2541	14	23	37	60
Cyyr1	20	48	16	32
Gm41483	31	17	12	28
Gm41482	6	18	5	8
Gm10791	8	11	13	5
App	1178	1292	2662	2409
Gabpa	1754	1756	1718	2101
Atp5j	1954	2138	2640	2578
Gm46557	12	17	15	22
Jam2	192	208	257	257
Gm32202	0	0	0	1
Gm26153	1	0	1	3
Mrpl39	5216	5520	5499	5192
Mir155	0	0	0	0
Mir155hg	7	1	4	6
4930529L06Rik	9	8	9	9
Gm2349	0	0	0	0
Gm2477	0	0	0	0
Gm32073	0	0	0	0
A730009L09Rik	2	2	0	0
Gm6032	0	0	0	0
4930553E22Rik	101	95	215	147
Gm24508	0	0	0	0
Gm7295	4	5	5	2
Gm41481	3	1	2	6
Rpl21-ps5	0	0	0	0
Gm7559	0	0	0	0
Gm23355	0	0	0	0
Gm41480	3	2	4	4
Pgk1-ps1	0	2	2	1
Gm5676	1	0	2	5
Gm49558	0	0	0	0
Ncam2	12	9	13	19
Fkbp1a-ps3	0	0	0	0
Gm19867	0	0	0	0
Gm41479	0	0	0	0
Gm23083	0	0	0	0
1700066C05Rik	4	4	5	1
Rps19-ps12	0	0	0	0
Gm18826	0	0	0	0
Tmprss15	0	5	1	1
Chodl	2	3	3	2
4930570E03Rik	106	134	126	142
Gm24861	0	0	0	0
4930478L05Rik	15	17	13	13
LOC115488614	124	129	145	162
D16Ertd472e	2532	2746	2592	2823
Gm25038	0	0	0	0
Btg3	195	177	288	471
Cxadr	143	187	207	279
E330011O21Rik	4	0	1	0
Gm25916	0	0	0	0
Gm41477	0	0	0	1
Gm31613	2	2	4	1
Gm31495	0	1	1	0
Gm5675	0	0	0	0
Gm31431	4	12	6	9
Mir125b-2	0	0	0	0
Mirlet7c-1	1	0	1	1
Mir99a	1	0	1	0
9430053O09Rik	0	0	0	1
Mir99ahg	41	39	38	34
Gm31258	0	0	0	0
Usp25	1489	1552	1361	1398
1700041M19Rik	72	55	61	45
Gm7501	0	0	0	0
LOC102632931	1	0	0	0
Gm30790	5	3	3	7
Gm30726	0	0	0	0
Gm30615	0	1	0	0
Gm52253	0	0	0	0
Gm9843	78	91	198	168
Gm30569	4	2	2	3
Nrip1	195	189	272	411
Gm30507	0	0	0	0
Gm22268	0	0	0	0
4930578N18Rik	13	13	3	2
Gm15555	0	0	1	1
Samsn1	1	0	2	2
Gm15554	0	0	0	0
Hspa13	1034	1084	1065	1093
Gm15553	0	0	0	0
Gm30162	13	11	19	20
Gm41474	26	40	44	65
Rbm11	577	596	706	543
Lipi	20	19	18	11
n-TIaat1	0	1	0	0
Gm30116	0	0	2	1
Gm52278	0	0	0	0
LOC115488698	0	0	0	0
Gm52242	3	8	5	9
Gm26307	0	0	0	0
Mir691	0	0	0	0
Gm18021	0	0	0	1
Gm22163	0	0	0	0
Robo2	12	12	18	6
Gm18168	0	0	0	0
Gm41472	0	2	0	1
Gm18825	0	0	0	0
Gm25699	0	0	0	0
4930500H12Rik	80	76	76	88
Gm52247	0	0	0	1
Gm52248	9	2	0	5
Gm29908	0	0	0	0
8030451O07Rik	0	0	0	0
Robo1	437	485	458	646
Gm18550	0	0	0	0
Gm18549	0	0	0	0
Gm22797	0	0	0	1
4930567J20Rik	35	41	25	33
Gm18918	0	0	0	0
Gm24968	0	0	0	0
4931420L22Rik	1	8	4	1
Gm29823	14	21	18	14
Gm18663	0	0	0	0
Gm19291	0	0	0	0
D16Ertd519e	0	0	0	2
Gbe1	216	204	255	253
Gm36766	7	12	8	12
Gm19082	0	0	0	0
Gm41471	107	106	173	176
Speer2	1974	2137	2561	2361
Gm18897	0	0	4	1
4930428D20Rik	57	57	39	40
Gm18496	0	0	0	0
Gm46542	0	0	0	0
Gm24681	0	0	0	0
Gm18495	0	0	0	0
LOC115488688	0	0	0	0
1700010K23Rik	885	1037	1000	1023
Cadm2	112	126	87	109
Gm18019	0	0	0	0
Gm22448	0	0	0	0
Gm18238	0	0	0	0
Gm7366	0	0	0	0
Gm52259	0	0	0	0
Vgll3	77	87	69	69
Gm5221	1	1	0	0
Gm41470	0	0	0	0
Gm41469	3	1	0	3
LOC115488701	0	0	0	0
Gm36457	148	179	144	141
Chmp2b	4295	4490	4676	4708
Pou1f1	0	0	0	0
Gm9584	0	1	0	0
Gm34033	0	1	0	0
Gm22429	0	0	0	0
Htr1f	1	0	0	2
Gm16385	1	1	2	2
Gm9061	0	0	0	0
Gm33971	0	2	1	0
Cggbp1	1643	1842	1882	1919
Zfp654	15458	16861	12719	14458
4930453N24Rik	11387	12519	11303	11341
Csnka2ip	1011	979	769	909
Gm41466	0	1	1	0
Gm22769	0	0	0	0
Epha3	26	30	24	20
Gm33912	14	16	17	16
Gm18870	1	0	0	0
Pros1	93	102	126	108
Stx19	0	0	1	0
Arl13b	537	562	544	729
Gm52231	0	0	0	0
Nsun3	436	499	453	453
Gm9816	60	74	163	166
Gm19000	0	0	0	0
Gm24164	0	0	0	0
Gm33797	3	1	0	1
Gm18772	0	0	0	0
Gm17192	0	0	0	0
Gm9027	4	7	12	9
Gm23852	0	0	0	0
Gm9017	0	0	0	1
Gm4660	0	0	0	0
Epha6	17	9	18	14
4930547E14Rik	100	101	100	118
Arl6	692	803	861	884
Crybg3	26302	28938	26708	26418
Riox2	256	219	453	597
1700022E09Rik	7	6	3	5
Orai2-ps	5	1	2	2
Gabrr3	1	0	0	0
Gm33611	0	0	0	0
Olfr209	0	0	0	0
Olfr206	0	0	0	0
Olfr205	0	0	0	0
Olfr204	0	0	0	0
Olfr203	0	0	0	0
Olfr202	0	0	0	0
Olfr201	0	0	0	0
Olfr200-ps1	0	0	0	0
Olfr199	5	3	1	0
Olfr198	0	0	0	0
Olfr197	0	0	0	0
Olfr196	0	0	0	0
Olfr195	0	2	1	0
Olfr194	0	0	0	1
Olfr193	0	0	0	0
Olfr192	0	0	0	0
Olfr191	0	0	0	0
Olfr190	0	0	0	0
Olfr189-ps1	0	0	0	0
Olfr188-ps1	0	0	0	0
Olfr187	0	0	0	0
Olfr186	0	0	0	0
Olfr185-ps1	0	0	0	0
Olfr182-ps1	0	0	0	0
Olfr183	8	5	13	19
Olfr181	4	2	1	0
Olfr180	0	2	0	0
Olfr178	0	0	0	0
Olfr177	0	0	0	0
Olfr175	0	0	0	0
Olfr173	0	0	0	0
Olfr172	0	0	0	0
Gm26019	0	0	0	0
Cldnd1	533	561	607	727
Gpr15	25	38	28	25
Cpox	95	116	215	284
Gm41464	0	0	0	0
Ftdc2	1	0	1	0
Ftdc1	0	0	0	0
Gm20942	0	0	0	0
Gm33475	7	7	18	10
St3gal6	25	30	29	27
Dcbld2	464	473	723	773
4930461C15Rik	26	23	25	26
Gm41463	0	2	2	3
LOC115488704	0	0	0	0
Rpl7a-ps4	0	0	0	0
Gm24039	0	0	0	0
Gm5674	0	0	2	1
Col8a1	5	2	9	5
Gm51269	0	0	4	0
Gm20956	1	1	9	6
Filip1l	81	87	88	124
4921517D16Rik	11	7	4	10
Cmss1	367	432	489	455
Gm26800	4	11	12	18
Tmem30c	3432	3668	3277	2914
Tbc1d23	873	875	909	880
Gm16892	3	11	8	5
Nit2	66	82	143	208
Tomm70a	6916	7423	7554	7951
Tmem45a2	15	14	39	14
Gm8938	0	0	0	0
Lnp1	0	0	0	0
Gm8932	0	0	0	0
Tmem45a	3	0	0	3
Gm15693	0	0	0	0
Adgrg7	3	4	9	1
Tfg	1814	1919	1787	2126
Abi3bp	11	7	15	8
Gm21050	4	1	2	1
Impg2	36	38	36	58
Gm18723	0	0	1	2
Gm41462	0	0	0	0
Senp7	521	576	635	782
Gm22422	13	12	35	28
Trmt10c	181	220	261	390
Pcnp	892	910	1221	1160
Zbtb11os1	448	462	543	462
Zbtb11	1888	2113	2200	2449
Rpl24	3471	3749	6832	6043
Gm6958	5	4	5	5
Gm8900	0	0	0	0
Cep97	1157	1168	1261	1153
Gm17809	71	72	86	83
Gm19041	0	1	0	1
Nxpe3	2394	2641	2696	2742
Nfkbiz	148	205	197	233
Gm26369	0	1	0	0
Gm19771	0	0	0	0
Gm23003	0	0	0	0
Mir5118	0	0	0	0
Gm45968	7	2	7	3
Zpld1	3	1	3	1
Gm5769	0	0	0	0
Gm22977	0	0	0	0
Gm8881	0	0	0	0
Gm23180	0	0	0	0
Gm46541	0	0	0	0
Gm25853	0	0	0	0
Gm5487	43	35	71	76
Gm22459	0	0	0	0
Gm25723	1	0	0	0
4930405D01Rik	14	28	22	22
4930404A05Rik	84	70	80	94
Gm52279	0	0	0	0
Gm41461	9	14	25	38
Gm32597	13	16	8	7
Alcam	221	154	418	364
Gm23513	0	0	0	0
Cblb	3452	3486	3622	3757
Gm29686	0	3	2	1
LOC115488687	0	0	0	0
Gm6767	8	19	23	21
Gm32431	0	0	0	0
Gm7280	0	0	0	0
Gm24925	0	0	0	0
1700116B05Rik	86	81	121	133
Mir6363	0	0	0	0
Dubr	26	36	44	35
Gm9575	1	2	5	6
4930542D17Rik	9	12	2	5
Ccdc54	759	806	908	1050
G730013B05Rik	27	26	15	28
Gm41459	0	1	1	0
Gm32231	0	0	0	0
Bbx	1210	1261	1472	1556
Gm8824	0	0	0	0
Gm32101	0	0	0	0
Gm4827	0	0	0	0
Gm6936	0	0	0	0
Gm19723	73	73	65	60
Gm5486	10	22	9	12
Cd47	235	207	347	368
Gm4633	4	3	10	6
Gm16619	0	0	0	0
Gm15518	10	11	9	11
Gm52251	80	111	101	79
Ift57	1751	1715	1702	1690
Gm31494	0	0	0	0
Gm35938	0	0	0	0
Gm6931	0	0	0	0
Gm4802	0	0	0	0
Gm18694	0	0	0	0
Gm5407	10	8	12	11
1700026J12Rik	3826	3936	3482	3465
Myh15	89	88	89	123
Cip2a	1851	1946	1863	2446
Gm22576	0	0	1	0
Dzip3	1442	1546	1441	1890
Retnlg	0	0	0	0
Retnla	0	2	0	0
Retnlb	0	0	0	0
Gm8670	3	1	6	5
Trat1	6	7	23	18
Gm41458	0	0	1	0
Morc1	211	249	380	393
Gm5485	1	0	0	0
Dppa2	2	2	3	7
Dppa4	20	33	37	66
Gm7204	1	3	4	7
